#{"t_start": 1780398861.2305164, "env_id": "None"}
r,l,t
-30.51356,158,88.967388
12.134588,78,88.967439
-12.576463,118,89.106165
-5.135834,108,89.106199
-1.9554254,104,89.232866
6.6044693,88,89.356892
23.3146,58,89.356937
20.095173,66,89.460284
33.22885,37,89.58325
17.142155,83,89.690999
13.06229,81,89.813031
9.87713,81,89.935419
33.49815,28,89.93547
27.063475,43,90.047636
34.283768,28,90.181883
-23.130793,176,90.306745
-98.18247,200,90.440337
14.28808,78,90.555917
12.711909,76,90.675016
5.621414,75,90.781676
-15.337227,133,90.781723
-1.0078266,95,90.933543
-199.08682,200,91.051834
28.995346,49,91.184078
28.331633,51,91.290962
29.51334,32,91.404935
-102.831055,200,91.549735
-408.37735,200,91.737385
32.440628,32,91.737426
30.6346,35,91.737433
19.2357,56,91.874694
34.357334,35,92.029334
1.797765,85,92.139797
-0.3464158,111,92.272892
32.838245,33,92.398883
0.4254912,105,92.593612
-139.45891,200,92.733691
18.67963,59,92.858438
-3.874877,113,93.017061
12.542566,80,93.162296
-32.72058,149,93.277428
15.072945,61,93.416871
11.900635,82,93.551723
-38.984238,169,93.680694
20.707949,71,93.680748
-14.776683,134,93.823189
-23.78399,105,93.95559
31.018106,36,94.084021
-144.66989,200,94.217694
15.233571,84,94.348946
29.368334,42,94.469662
-54.013027,199,94.610719
-14.5304785,139,94.71725
-29.161642,133,94.843292
-36.53122,171,94.994761
36.988216,23,95.133586
20.491488,58,95.285877
27.905815,50,95.285939
-11.993635,124,95.406898
24.844543,45,95.526001
-97.98985,200,95.641307
20.52378,75,95.769792
28.502142,49,95.769838
-140.4856,200,95.887354
3.2768393,76,96.083745
-116.89886,200,96.192149
37.213932,27,96.341617
-101.900795,200,96.341667
5.312587,93,96.455597
-123.94978,200,96.599326
-178.64944,200,96.735642
-116.58281,200,96.920873
-64.111626,182,97.031256
28.912962,43,97.161654
-157.93417,200,97.34159
6.965406,89,97.34163
15.248967,75,97.488077
-11.286482,144,97.653356
32.491455,35,97.760917
-76.27835,185,97.952518
18.936905,61,98.061809
-34.08856,107,98.174619
37.118607,28,98.29809
-140.21544,200,98.298149
-57.487514,162,98.441652
29.920856,42,98.56964
-98.04665,200,98.684473
-109.23515,200,98.824728
-11.81365,145,98.945596
10.859408,93,99.060849
-12.376755,130,99.210514
3.8005545,95,99.307755
-101.19908,159,99.478935
28.028328,48,99.602063
22.123854,63,99.602113
36.689484,28,99.734473
32.024006,41,99.855858
13.1912775,84,99.993535
26.352472,45,100.141823
-6.133016,107,100.141869
35.125595,30,100.296095
34.26338,32,100.423185
28.724884,44,100.423238
22.967525,52,100.563943
-13.256627,114,100.709873
1.4969412,111,100.709938
13.140363,79,100.852494
-1.479584,115,100.992051
-94.83454,200,101.105294
-25.766079,133,101.225037
4.231141,85,101.354061
12.61031,95,101.497005
33.608406,33,101.64139
30.985308,34,101.829428
35.207386,35,101.947632
35.912537,28,102.06639
-19.828608,159,102.187775
-121.18355,200,102.30504
-106.400986,200,102.433873
3.1441522,98,102.606988
4.6981883,94,102.72072
34.594723,39,102.900231
-90.96336,200,102.900291
10.9656,88,103.035861
-90.63286,200,103.165088
-21.460957,167,103.281391
34.408993,34,103.410601
-10.458584,127,103.410638
32.200165,54,103.410647
-139.24234,200,103.58452
21.157084,67,103.689188
29.218082,39,103.858256
-16.662048,131,103.858297
-19.155153,100,103.978882
23.211056,57,104.124277
34.3034,34,104.284935
32.890583,40,104.391597
-106.65243,200,104.52193
-14.456806,133,104.521968
-24.284697,110,104.705962
-41.44533,132,104.706007
13.100412,72,104.706014
39.036125,21,104.706019
-124.49647,200,104.851407
-2.334183,81,104.982796
15.086619,56,105.101129
-11.01753,114,105.256624
18.11161,66,105.376334
-144.41872,200,105.55786
29.536299,38,105.672327
-15.975323,139,105.804569
24.66272,60,105.942979
0.20016931,111,106.045853
-52.182903,170,106.160978
12.556335,85,106.276144
-511.7331,200,106.276185
37.942345,27,106.395693
33.989105,29,106.561874
-129.19525,200,106.561935
35.597916,26,106.719678
17.0899,81,106.856571
31.584005,35,106.984936
9.23627,84,107.119234
7.226595,101,107.23655
28.332766,42,107.236604
31.131817,39,107.366778
-98.71782,200,107.529341
28.396881,48,107.529397
27.943434,59,107.642442
8.584127,83,107.778215
25.410955,55,107.914061
-1.8133653,108,108.054493
0.61246055,108,108.054525
27.819637,45,108.181913
-34.00781,174,108.30616
-29.501846,150,108.467387
37.5443,25,108.467442
31.469067,36,108.618268
34.003838,36,108.618319
-14.8199625,140,108.75263
17.349674,75,108.879821
-11.605357,129,108.879864
28.756098,48,109.000787
-31.058311,165,109.125997
-43.069016,167,109.235464
-14.108381,153,109.371412
37.95642,28,109.371465
36.09863,25,109.510589
-16.814363,129,109.635907
23.48722,59,109.781329
35.82571,29,109.929842
-3.0886014,113,110.040643
24.594797,53,110.164294
-45.13373,196,110.275941
-109.090225,200,110.380702
18.69338,63,110.520622
-14.846902,147,110.520659
25.92929,55,110.712517
22.190668,68,110.847757
23.84198,52,110.995323
34.17836,27,111.092692
12.550699,79,111.296396
35.50947,33,111.296449
-100.426765,200,111.296458
19.060896,73,111.428856
35.327183,25,111.428892
-130.72647,200,111.569731
-77.121254,200,111.569768
34.0385,29,111.70717
20.26586,71,111.809488
15.145312,85,111.962315
8.749066,89,112.097193
2.6530435,91,112.231081
11.985878,63,112.337592
1.3101853,91,112.490022
28.345713,51,112.652958
-122.83209,200,112.652998
22.922922,54,112.770172
34.021545,43,112.89707
26.452404,39,113.039525
-771.5841,200,113.169317
